latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
8.75715,78.183,326.49,0.43,0.46,2026-08-01,2006,SNPP,SNPP,n,2.0NRT,284.82,2.06,N
8.75772,78.17909,306.04,0.43,0.46,2026-08-01,2006,SNPP,SNPP,n,2.0NRT,282.65,2.06,N
11.18186,79.0993,306.32,0.4,0.45,2026-08-01,2006,SNPP,SNPP,n,2.0NRT,290.03,2.34,N
20.90794,71.4593,300.98,0.38,0.59,2026-08-01,2144,SNPP,SNPP,n,2.0NRT,285.36,0.99,N
17.6107,83.20548,332.53,0.37,0.58,2026-08-02,0714,SNPP,SNPP,n,2.0NRT,289.49,3.23,D
20.96841,85.17646,336.43,0.48,0.48,2026-08-02,0714,SNPP,SNPP,n,2.0NRT,288.94,9.11,D
25.85723,93.33242,340.14,0.42,0.38,2026-08-02,0716,SNPP,SNPP,n,2.0NRT,292.01,6.84,D
25.87871,93.3072,334.7,0.42,0.38,2026-08-02,0716,SNPP,SNPP,n,2.0NRT,293.6,4.96,D
26.0261,93.54562,334.11,0.43,0.38,2026-08-02,0716,SNPP,SNPP,n,2.0NRT,293.37,3.09,D
26.01458,93.35497,333.87,0.43,0.38,2026-08-02,0716,SNPP,SNPP,n,2.0NRT,292.2,2.52,D
9.02032,77.84805,333.75,0.32,0.55,2026-08-02,0852,SNPP,SNPP,n,2.0NRT,277.47,2.17,D
12.33321,79.90759,338.17,0.49,0.65,2026-08-02,0852,SNPP,SNPP,n,2.0NRT,287,2.98,D
13.93082,77.46706,332.72,0.35,0.57,2026-08-02,0852,SNPP,SNPP,n,2.0NRT,290.94,2.72,D
23.80479,86.32948,324.81,0.42,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,283.53,3.03,N
23.79827,86.34924,325.36,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,283.07,3.51,N
23.80063,86.3289,307.74,0.42,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.85,1.57,N
23.79779,86.35337,305.54,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.26,1.21,N
23.79365,86.35276,308.29,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.64,1.21,N
23.69447,87.12154,300.48,0.56,0.43,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,272.74,0.72,N
23.80343,86.33026,327.85,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,283.83,3.48,N
23.79679,86.34998,321.22,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.84,3.47,N
23.79628,86.3541,312.33,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.45,1.43,N
23.69368,87.10851,301.55,0.56,0.43,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,274.2,1.93,N
23.69229,87.11947,299.81,0.56,0.43,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,272.75,2.46,N
23.77936,86.38896,329.28,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,284.5,1.78,N
23.78135,86.37264,306.03,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.68,1.29,N
23.77886,86.39299,307.33,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,283.68,1.97,N
23.68833,87.11887,299.4,0.56,0.43,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,272.12,1.46,N
23.77571,86.38428,304.85,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,283.22,1.78,N
23.77522,86.38833,305.6,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,283.55,1.78,N
23.77406,86.36327,319.81,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.46,2.37,N
23.77356,86.36737,304.42,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282,0.98,N
23.76912,86.40388,315.91,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,283.1,2.45,N
23.76498,86.40328,321.81,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.55,2.45,N
23.76448,86.40738,308.19,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.94,1.38,N
23.76085,86.40268,303.96,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,279.56,1.97,N
23.7799,86.20953,314.74,0.42,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.95,1.94,N
23.75622,86.40613,307.32,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.29,0.87,N
